------------------
Parameters [tc: 0.001 ]
day	 Daily Return	 Total return
266 	 0.96229083195852 	 2.44808487026957
267 	 1.05314719568944 	 2.57819371593415
268 	 0.972790697674419 	 2.50804286366339
269 	 0.988046856323213 	 2.47806386696648
270 	 1.02274376965884 	 2.53442438075667
271 	 0.977762006150934 	 2.47806386696648
272 	 1 	 2.47806386696648
273 	 0.955722235664166 	 2.36834073905579
274 	 1.05493670886076 	 2.49844958472037
275 	 0.959923206143509 	 2.3983197357527
276 	 0.995 	 2.38632813707394
277 	 1.03844221105528 	 2.47806386696648
278 	 0.983063150254053 	 2.4360932715908
279 	 1 	 2.4360932715908
280 	 1.03544179177947 	 2.5224327820779
281 	 0.990492037081055 	 2.49844958472037
282 	 0.99592032637389 	 2.48825672584343
283 	 1.02409638554217 	 2.54821471923724
284 	 0.972470588235294 	 2.47806386696648
285 	 1 	 2.47806386696648
286 	 1 	 2.47806386696648
287 	 0.996854585047181 	 2.47026932782528
288 	 0.975 	 2.40851259462965
289 	 0.995767986059248 	 2.3983197357527
290 	 1 	 2.3983197357527
291 	 0.99175 	 2.37853359793274
292 	 1.00403327451475 	 2.38812687687575
293 	 1.04619633442129 	 2.49844958472037
294 	 0.971922246220302 	 2.42829873244961
295 	 1.00172839506173 	 2.43249579198718
296 	 1.02711363076165 	 2.49844958472037
297 	 1.00791936645068 	 2.51823572254033
298 	 1.01595238095238 	 2.55840757811419
299 	 1 	 2.55840757811419
300 	 0.977267400984298 	 2.50024832452219
301 	 1.03908872901679 	 2.59797985375411
302 	 0.999307639049158 	 2.5961811139523
303 	 1 	 2.5961811139523
304 	 0.973903002309469 	 2.52842858141728
305 	 1 	 2.52842858141728
306 	 1.02371354043159 	 2.5883865748111
307 	 1.01389854065323 	 2.62436137084739
308 	 0.9899474525931 	 2.59797985375411
309 	 0.996307408262174 	 2.5883865748111
310 	 0.980542043085476 	 2.53802186036029
311 	 1.00401606425703 	 2.54821471923724
312 	 1 	 2.54821471923724
313 	 1.004 	 2.55840757811419
314 	 0.988985235528474 	 2.5302273212191
315 	 0.995260663507109 	 2.51823572254033
316 	 1.01595238095238 	 2.55840757811419
317 	 0.984298101710804 	 2.51823572254033
318 	 0.995952380952381 	 2.50804286366338
319 	 1 	 2.50804286366338
320 	 1.01195314367679 	 2.53802186036029
321 	 0.996220174816915 	 2.52842858141728
322 	 1.00379416646905 	 2.53802186036029
323 	 0.996220174816915 	 2.52842858141728
324 	 1 	 2.52842858141728
325 	 1.03153900877401 	 2.60817271263106
326 	 0.989195402298851 	 2.57999245573597
327 	 0.983732279804787 	 2.53802186036029
328 	 1.00094495629577 	 2.54042018009605
329 	 1.02265754071277 	 2.59797985375411
330 	 0.992384029540734 	 2.57819371593415
331 	 0.984418604651163 	 2.53802186036029
332 	 1 	 2.53802186036029
333 	 1.00803212851406 	 2.55840757811419
334 	 1 	 2.55840757811419
335 	 1.00773377079916 	 2.57819371593415
336 	 1 	 2.57819371593415
337 	 1 	 2.57819371593415
338 	 0.985348837209302 	 2.54042018009605
339 	 0.999055935803634 	 2.53802186036029
340 	 1 	 2.53802186036029
341 	 0.992912827781715 	 2.52003446234215
342 	 1.00095170116583 	 2.5224327820779
343 	 1.00237699072974 	 2.52842858141728
344 	 1 	 2.52842858141728
345 	 0.99596869812663 	 2.51823572254033
346 	 1 	 2.51823572254033
347 	 1.0952380952381 	 2.7580676961156
348 	 1 	 2.7580676961156
349 	 0.931086956521739 	 2.5680008570572
350 	 1.01564324071912 	 2.60817271263106
351 	 1.0383908045977 	 2.70830256159874
352 	 0.974097852557007 	 2.63815170932797
353 	 1.00386363636364 	 2.64834456820492
354 	 1.01131990038488 	 2.67832356490183
355 	 1 	 2.67832356490183
356 	 1.01477501678979 	 2.71789584054175
357 	 1.01478049856607 	 2.7580676961156
358 	 1.0145652173913 	 2.79823955168946
359 	 1.00921362759803 	 2.8240214888488
360 	 1.04734607218684 	 2.95772781411702
361 	 0.959456720048652 	 2.83781182732938
362 	 1.0105641242341 	 2.86779082402629
363 	 1 	 2.86779082402629
364 	 1 	 2.86779082402629
365 	 1.02446163495714 	 2.93794167629706
366 	 1 	 2.93794167629706
367 	 1 	 2.93794167629706
368 	 1.01489795918367 	 2.98171101147454
369 	 1.01206515181983 	 3.01768580751083
370 	 1.01390820584145 	 3.05965640288651
371 	 1.01254164217127 	 3.09802951865855
372 	 1 	 3.09802951865855
373 	 1 	 3.09802951865855
374 	 0.987033094639056 	 3.05785766308469
375 	 0.980392156862745 	 2.99789966969087
376 	 1.0046 	 3.01169000817145
377 	 1.01532948437189 	 3.05785766308469
378 	 0.993529411764706 	 3.03807152526473
379 	 0.960528912571541 	 2.9181555384771
380 	 1.05465379083624 	 3.07764380090465
381 	 0.955191895577635 	 2.93974041609887
382 	 0.995920864776667 	 2.92774881742011
383 	 1.01310669670285 	 2.96612193319215
384 	 0.993935718617344 	 2.94813453517401
385 	 1.01688021151108 	 2.99789966969087
386 	 0.99 	 2.96792067299397
387 	 0.996565656565657 	 2.95772781411702
388 	 1.00344617879586 	 2.96792067299397
389 	 1 	 2.96792067299397
390 	 1.00343434343434 	 2.97811353187091
391 	 0.993154821824039 	 2.95772781411702
392 	 1 	 2.95772781411702
393 	 1.00283802959659 	 2.96612193319215
394 	 1.00808570851021 	 2.99010513054968
395 	 1.01604170844195 	 3.03807152526473
396 	 0.960528912571541 	 2.9181555384771
397 	 1 	 2.9181555384771
398 	 0.986233819601397 	 2.87798368290324
399 	 0.986041666666667 	 2.83781182732938
400 	 1 	 2.83781182732938
401 	 0.978871751531798 	 2.77785383393556
402 	 0.993524714008202 	 2.75986643591742
403 	 0.99934825114056 	 2.7580676961156
404 	 1 	 2.7580676961156
405 	 0.998478260869565 	 2.75387063657804
406 	 0.994339211844111 	 2.73828155829564
407 	 1 	 2.73828155829564
408 	 1.00350339391285 	 2.74787483723866
409 	 1.00436395374209 	 2.75986643591742
410 	 1.0065174885944 	 2.77785383393556
411 	 0.992877185409022 	 2.7580676961156
412 	 1.00369565217391 	 2.76826055499255
413 	 0.989170457006714 	 2.73828155829564
414 	 0.963433326034596 	 2.63815170932797
415 	 0.993181818181818 	 2.62016431130982
416 	 1.00686498855835 	 2.63815170932797
417 	 1.02272727272727 	 2.69810970272179
418 	 0.974 	 2.62795885045102
419 	 1.03810175678759 	 2.72808869941869
420 	 0.989010989010989 	 2.69810970272179
421 	 0.997111111111111 	 2.69031516358059
422 	 0.999108535770002 	 2.68791684384484
423 	 0.988846754405532 	 2.65793784714793
424 	 0.976765170313557 	 2.5961811139523
425 	 0.985450346420323 	 2.55840757811419
426 	 0.984298101710804 	 2.51823572254033
427 	 0.984047619047619 	 2.47806386696648
428 	 1 	 2.47806386696648
429 	 0.999274135010888 	 2.47626512716466
430 	 1.0089588377724 	 2.49844958472037
431 	 1.01991840652748 	 2.54821471923724
432 	 0.972470588235294 	 2.47806386696648
433 	 1.02588918461166 	 2.54221891989786
434 	 1.02051886792453 	 2.59438237415048
435 	 1.00138664201525 	 2.59797985375411
436 	 1 	 2.59797985375411
437 	 0.957765981998615 	 2.48825672584342
438 	 0.971807228915663 	 2.41810587357266
439 	 0.975204562360526 	 2.35814788017884
440 	 1.01703534197813 	 2.3983197357527
441 	 0.96675 	 2.31857560453892
442 	 1.03361779156969 	 2.39652099595088
443 	 1.01250938203653 	 2.42649999264779
444 	 0.992587101556709 	 2.40851259462965
445 	 0.970873786407767 	 2.33836174235888
446 	 0.94025641025641 	 2.19865961775129
447 	 0.918189255522225 	 2.01878563756983
448 	 1.05435105435105 	 2.12850876548052
449 	 1.03295774647887 	 2.19865961775129
450 	 1 	 2.19865961775129
451 	 0.977092991546223 	 2.14829490330048
452 	 0.995534468322635 	 2.13870162435747
453 	 0.981216708718811 	 2.09852976878361
454 	 0.990571428571429 	 2.07874363096365
455 	 0.962503605422556 	 2.00079823955169
456 	 1.01378483667965 	 2.02837891651284
457 	 0.986402601241502 	 2.00079823955169
458 	 0.968834282289482 	 1.93844192642212
459 	 0.979585524280854 	 1.8988696507822
460 	 0.894537417113988 	 1.69860995284685
461 	 0.954112248499823 	 1.62066456143489
462 	 0.900110987791343 	 1.45877797927158
463 	 1.0275380189067 	 1.49894983484544
464 	 1.132 	 1.69681121304503
465 	 1.05406360424028 	 1.78854694293757
466 	 1.06034193764666 	 1.89647133104645
467 	 0.932658868163136 	 1.76876080511762
468 	 1.01694915254237 	 1.79873980181452
469 	 0.994333333333333 	 1.78854694293757
470 	 1.07710358699296 	 1.92645032774336
471 	 1.03236850295674 	 1.98880664087293
472 	 0.943623756406391 	 1.87668519322649
473 	 0.958466453674121 	 1.79873980181452
474 	 0.922333333333333 	 1.65903767720693
475 	 0.971087820744489 	 1.61107128249188
476 	 0.967621883141049 	 1.55890782823925
477 	 1.02576923076923 	 1.59907968381311
478 	 1.12485939257593 	 1.79873980181452
479 	 1.099 	 1.97681504219416
480 	 0.971489232635729 	 1.92045452840397
481 	 1.09272556977833 	 2.09852976878361
482 	 1.00942857142857 	 2.11831590660357
483 	 1.01415227851684 	 2.14829490330048
484 	 1.01786212670946 	 2.18666801907252
485 	 1 	 2.18666801907252
486 	 0.99616122840691 	 2.17827389999739
487 	 0.948802642444261 	 2.06675203228489
488 	 0.991296779808529 	 2.04876463426674
489 	 0.997073456248171 	 2.04276883492736
490 	 0.939242735544467 	 1.91865578860216
491 	 1.0209375 	 1.95882764417602
492 	 1.01010101010101 	 1.97861378199598
493 	 1 	 1.97861378199598
494 	 1 	 1.97861378199598
495 	 1 	 1.97861378199598
496 	 1 	 1.97861378199598
497 	 1.03545454545455 	 2.04876463426674
498 	 1.02429031314018 	 2.09852976878361
499 	 1 	 2.09852976878361
500 	 1.01914285714286 	 2.13870162435747
501 	 1.00925147182506 	 2.15848776217743
502 	 0.972222222222222 	 2.09852976878361
503 	 1 	 2.09852976878361
504 	 1.01914285714286 	 2.13870162435747
505 	 0.943930473787496 	 2.01878563756983
506 	 1.00980100980101 	 2.03857177538979
507 	 1.00970588235294 	 2.05835791320975
508 	 1 	 2.05835791320975
509 	 0.985435479172735 	 2.02837891651284
510 	 1 	 2.02837891651284
511 	 1.01477978125924 	 2.05835791320975
512 	 1.00990387416254 	 2.07874363096365
513 	 1.00951831554658 	 2.09852976878361
514 	 0.990571428571429 	 2.07874363096365
515 	 1 	 2.07874363096365
516 	 1 	 2.07874363096365
517 	 1 	 2.07874363096365
518 	 1 	 2.07874363096365
519 	 0.960484568791462 	 1.99660118001412
520 	 1.0009009009009 	 1.99839991981594
521 	 1 	 1.99839991981594
522 	 1 	 1.99839991981594
523 	 1 	 1.99839991981594
524 	 1.001200120012 	 2.00079823955169
525 	 1.00389571471381 	 2.00859277869288
526 	 0.981194029850746 	 1.97081924285478
527 	 0.993915424399148 	 1.95882764417602
528 	 0.969390878481788 	 1.8988696507822
529 	 1 	 1.8988696507822
530 	 0.956741395642564 	 1.81672719983267
531 	 1.01221122112211 	 1.83891165738838
532 	 0.97815454841865 	 1.79873980181452
533 	 1.02233333333333 	 1.83891165738838
534 	 0.988914248451255 	 1.81852593963448
535 	 1.07715133531157 	 1.95882764417602
536 	 0.923477196204469 	 1.80893266069147
537 	 1.01657275439178 	 1.83891165738838
538 	 0.968373002934463 	 1.78075240379638
539 	 0.993265993265993 	 1.76876080511761
540 	 1 	 1.76876080511761
541 	 0.994237288135593 	 1.75856794624067
542 	 0.982952608250938 	 1.72858894954376
543 	 1 	 1.72858894954376
544 	 0.925078043704474 	 1.59907968381311
545 	 1.06224221972253 	 1.69860995284685
546 	 1 	 1.69860995284685
547 	 0.982350864807624 	 1.66863095614994
548 	 1.01796622349982 	 1.69860995284685
549 	 1 	 1.69860995284685
550 	 0.988351570773032 	 1.67882381502689
551 	 0.976071428571429 	 1.63865195945303
552 	 0.994145627515551 	 1.62905868051002
553 	 1.0184026499816 	 1.65903767720693
554 	 1.0119262739429 	 1.67882381502689
555 	 1.00964285714286 	 1.69501247324322
556 	 1.01627166607711 	 1.72259315020437
557 	 1 	 1.72259315020437
558 	 1.00591715976331 	 1.73278600908132
559 	 0.992041522491349 	 1.71899567060075
560 	 1 	 1.71899567060075
561 	 1 	 1.71899567060075
562 	 1 	 1.71899567060075
563 	 1.02895012207883 	 1.76876080511761
564 	 1.0328813559322 	 1.82692005870962
565 	 0.973744666885461 	 1.77895366399456
566 	 1.03370407819346 	 1.83891165738838
567 	 1.00978154548419 	 1.85689905540653
568 	 0.989021633839199 	 1.83651333765263
569 	 0.979431929480901 	 1.79873980181452
570 	 1 	 1.79873980181452
571 	 1.03333333333333 	 1.85869779520834
572 	 0.989354838709677 	 1.83891165738838
573 	 0.988914248451255 	 1.81852593963448
574 	 1.01121002307946 	 1.83891165738838
